name,provider_name,abn,slug,email,phone,website,government_listing_url,address_line_1,address_line_2,suburb,state,postcode,latitude,longitude,status,source_primary,facility_type,beds,one_line_description,long_description,overview_heading,provider_overview,accommodation_summary,pricing_summary,care_types,specialties,languages,room_types,feature_tags,other_tags,hero_badges,services_included,amenities,allied_health,food_highlights,visiting_hours,admissions_process,waiting_list_summary,transport_notes,nearby_hospitals,faq_items,review_summary,review_count,primary_photo_url,gallery_image_urls,rad_from,rad_to,dap_from,dap_to,availability_status,active_vacancies,website_says_vacancies,website_checked_at,website_source_url,facility_confirmed_vacancies,facility_confirmed_at,facility_confirmation_source,conflict_flag,verified_at,last_profile_scan_at,internal_notes,facility_row_id,primary_photo_id,gallery_photo_ids,primary_photo_local_path,gallery_photo_local_paths
Tricare Bayview Place Aged Care Residence,TriCare Aged Care Pty Ltd,,tricare-bayview-place-aged-care-residence,agedcare@tricare.com.au,07 3360 9011,https://www.tricare.com.au/aged-care/gold-coast/bayview-place-aged-care-residence/?utm_source=macpor,https://www.myagedcare.gov.au/find-a-provider/search/1x7l8wq451-tricare-aged-care-pty-ltd/aged-care-homes/tricare-bayview-place-aged-care-residence-jrhqcscm6r,86 BAYVIEW Street,,RUNAWAY BAY,QLD,4216,,,active,myagedcare,residential_aged_care,,,,,,,,Palliative,,,Availability|Classic Single Room with Private Ensuite|Superior Single Room with Private Ensuite and Water Views|Classic Single Room with Shared Bathroom|Classic Companion with Shared Bathroom,,,,Nursing|Medication management,,,,,,,,,,,,,,,,104.79,151.95,unknown,,unknown,,,unknown,,,,,2026-03-19T10:07:26.974Z,,,,,,
Arcare Logan Reserve,Arcare Pty Ltd,,arcare-logan-reserve,felicity.dixon@arcare.com.au,1300 272 273,https://arcare.com.au/residence-locations/logan-reserve/,https://www.myagedcare.gov.au/find-a-provider/search/kw854rw3p-arcare-pty-ltd/aged-care-homes/arcare-logan-reserve-2rcc3mr0nk,17 HALCYON Way,,LOGAN RESERVE,QLD,4133,,,active,myagedcare,residential_aged_care,,,,,,,,,,,Availability|Grande|Deluxe|Premiere,,,,Nursing|Medication management|Dietitian,,,$14/day spend; 37% satisfaction; prepared onsite,,,,,,,,,,,,,110.03,120.51,unknown,,unknown,,,unknown,,,,,2026-03-19T10:07:43.566Z,,,,,,
Arcare Parkwood,Arcare Pty Ltd,,arcare-parkwood,kimberley.stiles@arcare.com.au,1300 272 273,https://arcare.com.au/residence-locations/parkwood/,https://www.myagedcare.gov.au/find-a-provider/search/kw854rw3p-arcare-pty-ltd/aged-care-homes/arcare-parkwood-xvnc82wxpp,2 WOODLANDS Way,,PARKWOOD,QLD,4214,,,active,myagedcare,residential_aged_care,,,,,,,,,,,Availability|Grande|Deluxe|Premiere,,,,Nursing|Medication management|Dietitian,,,$13/day spend; 78% satisfaction; prepared onsite,,,,,,,,,,,,,110.03,120.51,unknown,,unknown,,,unknown,,,,,2026-03-19T10:08:00.583Z,,,,,,
Southern Cross Care St Joseph's Residential Aged Care,Southern Cross Care (NSW & ACT) Limited,,southern-cross-care-st-josephs-residential-aged-care,customerservice@sccliving.org.au,1800 632 314,https://www.sccliving.org.au/,https://www.myagedcare.gov.au/find-a-provider/search/x0bm56z2-southern-cross-care-nsw-and-act-limited/aged-care-homes/southern-cross-care-st-joseph-s-residential-hfsp2fm09,1-9 Blundell Boulevard,,TWEED HEADS SOUTH,NSW,2486,,,active,myagedcare,residential_aged_care,,,Southern Cross St Joseph's Apartments is a residential aged care facility located in an established residential area just minutes south of Tweed Heads. The facility is within a level 300m walk of a major shopping centre and local bus stops.,,,,,,,,Availability|Currently available|Single room + private ensuite,,,,Nursing|Medication management|Dietitian,,,$11/day spend; 69% satisfaction; prepared onsite,,,,,,,,,,,,,146.71,146.71,unknown,,unknown,,,unknown,,,,,2026-03-19T10:08:17.384Z,,,,,,
Kirra Beach Care Community,DPG Services Pty Ltd,,kirra-beach-care-community,contact.centre@opalhealthcare.com.au,07 5587 5500,https://www.opalhealthcare.com.au/residential-aged-care/kirra-beach,https://www.myagedcare.gov.au/find-a-provider/search/ckkzcf9s-dpg-services-pty-ltd/aged-care-homes/kirra-beach-care-community-79x00n3gqk,6-10 OCEAN Street,,COOLANGATTA,QLD,4225,,,active,myagedcare,residential_aged_care,,,"Located just moments from Coolangatta’s beautiful beaches, Kirra Beach Care Community offers the best of the Gold Coast lifestyle. We’re surrounded by shops and cafes, with major health and hospital facilities within easy reach. Our well-appointed home is set in tropical gardens, with light and airy living spaces both indoors and out, ideal for spending time with loved ones or quiet moments of reflection. We enjoy close ties with the local community and are known for our expert care and welcoming hospitality.",,,,,,,,Availability|Classic|Standard|Superior|Premium|Classic Companion|Premium Companion,,,,Nursing|Medication management,,,$13/day spend; 61% satisfaction; prepared onsite,,,,,,,,,,,,,94.32,99.55,unknown,,unknown,,,unknown,,,,,2026-03-19T10:08:34.411Z,,,,,,
Arcare Hope Island,Hope Island Care Pty Ltd,,arcare-hope-island,kimberley.stiles@arcare.com.au,1300 175 014,http://www.arcare.com.au/care/arcare-hope-island/,https://www.myagedcare.gov.au/find-a-provider/search/g33pkf44-hope-island-care-pty-ltd/aged-care-homes/arcare-hope-island-fyry7mx9,10 HALCYON Way,,HOPE ISLAND,QLD,4212,,,active,myagedcare,residential_aged_care,,,,,,,,Dementia,,,Availability|Grande|Premiere|Deluxe|Premiere Plus,,,,Nursing|Medication management|Dietitian,,,$13/day spend; 56% satisfaction; prepared onsite,,,,,,,,,,,,,110.03,130.99,unknown,,unknown,,,unknown,,,,,2026-03-19T10:08:51.606Z,,,,,,
Moura Multipurpose Health Service,Central Queensland Hospital and Health Service,,moura-multipurpose-health-service,,07 4997 2900,,https://www.myagedcare.gov.au/find-a-provider/search/n92qtrprn-central-queensland-hospital-and-health-service/aged-care-homes/moura-multipurpose-health-service-gjtzmbw0s,14 NOTT Street,,MOURA,QLD,4718,,,active,myagedcare,residential_aged_care,,,,,,,,,,,,,,,Nursing|Medication management,,,,,,,,,,,,,,,,,,unknown,,unknown,,,unknown,,,,,2026-03-19T10:09:01.428Z,,,,,,
Fairhaven,FREE REFORMED RETIREMENT VILLAGE ASSOCIATION (INC.),,fairhaven,operations@fairhaven.asn.au,08 9399 7173,,https://www.myagedcare.gov.au/find-a-provider/search/5jjc58dv-free-reformed-retirement-village-association/aged-care-homes/fairhaven-1stsp9g9,15 Pinetree Close,,ARMADALE,WA,6112,,,active,myagedcare,residential_aged_care,,,,,,,,,,,Availability|Currently available|Single room with ensuite|Single Room shared bathroom,,,,Nursing|Medication management|Dietitian,,,$63/day spend; 91% satisfaction; prepared onsite,,,,,,,,,,,,,110.03,110.03,unknown,,unknown,,,unknown,,,,,2026-03-19T10:09:08.535Z,,,,,,
Arcare Hope Island,Hope Island Care Pty Ltd,,arcare-hope-island,kimberley.stiles@arcare.com.au,1300 175 014,http://www.arcare.com.au/care/arcare-hope-island/,https://www.myagedcare.gov.au/find-a-provider/search/g33pkf44-hope-island-care-pty-ltd/aged-care-homes/arcare-hope-island-fyry7mx9,10 HALCYON Way,,HOPE ISLAND,QLD,4212,,,active,myagedcare,residential_aged_care,,,,,,,,Dementia,,,Availability|Grande|Premiere|Deluxe|Premiere Plus,,,,Nursing|Medication management|Dietitian,,,$13/day spend; 56% satisfaction; prepared onsite,,,,,,,,,,,,,110.03,130.99,unknown,,unknown,,,unknown,,,,,2026-03-19T10:09:24.754Z,,,,,,
Irt Berala On The Park,Illawarra Retirement Trust,,irt-berala-on-the-park,myagecare@irt.org.au,,http://www.irt.org.au/aged-care-centres/location/irt-berala-on-the-park/,https://www.myagedcare.gov.au/find-a-provider/search/kwmjvzz9-illawarra-retirement-trust/aged-care-homes/irt-berala-on-the-park-9txtz752,13-19 St Johns Avenue,,AUBURN,NSW,2144,,,active,myagedcare,residential_aged_care,,,"<p>IRT Berala on the Park Aged Care Centre is located in Western Sydney, within the leafy residential suburb of Auburn, close to shops, public transport and Auburn Hospital. Our modern aged care centre provides professional, personalised care with experienced staff and registered nurses on hand 24/7, ensuring you’re comfortable, well cared for and connected with family and friends. </p>",,,,,Dementia,,,Availability|Premium Plus|Premium|Superior Single|Value|Companion|Value,,,,Nursing|Medication management|Dietitian,,,$17/day spend; ?% satisfaction; offsite,,,,,,,,,,,,,92.27,149.95,unknown,,unknown,,,unknown,,,,,2026-03-19T10:09:43.172Z,,,,,,
Hill View House - Ashmore,EAST COAST CARE NO.7 PTY LTD,,hill-view-house-ashmore,enquiries@hillviewcare.com.au,07 5559 3222,https://hillviewcare.com.au/,https://www.myagedcare.gov.au/find-a-provider/search/p3qq2bpznx-east-coast-care-no-7-pty-ltd/aged-care-homes/hill-view-house-ashmore-gfbb6k5x6s,135 Cotlew St,,ASHMORE,QLD,4214,,,active,myagedcare,residential_aged_care,,,,,,,,,,,Availability|Single Deluxe Suite & Ensuite|Single ensuite room|Single ensuite room,,,,Nursing|Medication management|Dietitian,,,$15/day spend; 83% satisfaction; prepared onsite,,,,,,,,,,,,,157.19,195.97,unknown,,unknown,,,unknown,,,,,2026-03-19T10:09:58.618Z,,,,,,
St Vincent Care Services Boondall,St Vincent's Care Services Ltd,,st-vincent-care-services-boondall,svcs.info@svha.org.au,1300 719 243,https://www.svcs.org.au/residential-aged-care/qld/brisbane/boondall,https://www.myagedcare.gov.au/find-a-provider/search/0nx6675jrr-st-vincent-s-care-services-ltd/aged-care-homes/st-vincent-care-services-boondall-hmn7hsq30p,2141 SANDGATE Rd,,BOONDALL,QLD,4034,,,active,myagedcare,residential_aged_care,,,,,,,,,,,Availability|Standard Room,,,,Nursing|Medication management|Dietitian,,,$22/day spend; 88% satisfaction; prepared onsite,,,,,,,,,,,,,102.70,102.70,unknown,,unknown,,,unknown,,,,,2026-03-19T10:10:05.545Z,,,,,,
Tricare Pimpama Aged Care Residence,TriCare Aged Care Pty Ltd,,tricare-pimpama-aged-care-residence,agedcare@tricare.com.au,07 3360 9011,https://www.tricare.com.au/aged-care/gold-coast/pimpama-aged-care-residence/?utm_source=macportal&ut,https://www.myagedcare.gov.au/find-a-provider/search/1x7l8wq451-tricare-aged-care-pty-ltd/aged-care-homes/tricare-pimpama-aged-care-residence-mdfckrvl42,6 ANEMBO Avenue,,PIMPAMA,QLD,4209,,,active,myagedcare,residential_aged_care,,,,,,,,Palliative,,,Availability|Classic Single Room with Private Ensuite|Classic Single Room with Shared Ensuite|Classic Companion Room with Shared Bathroom|Classic Companion Room with Shared Ensuite,,,,Nursing|Medication management,,,,,,,,,,,,,,,,83.84,83.84,unknown,,unknown,,,unknown,,,,,2026-03-19T10:10:13.659Z,,,,,,
Arcare Helensvale St James,Arcare Pty Ltd,,arcare-helensvale-st-james,katelyn.strong@arcare.com.au,1300 272 273,http://www.arcare.com.au/care/arcare-st-james_helensvale/,https://www.myagedcare.gov.au/find-a-provider/search/kw854rw3p-arcare-pty-ltd/aged-care-homes/arcare-helensvale-st-james-4k9qy89,40-44 HELENSVALE Road,,HELENSVALE,QLD,4212,,,active,myagedcare,residential_aged_care,,,,,,,,,,,Availability|Grande|Deluxe|Premiere (Single Occupancy)|Premiere (Double Occupancy),,,,Nursing|Medication management|Dietitian,,,$14/day spend; 36% satisfaction; prepared onsite,,,,,,,,,,,,,60.26,120.51,unknown,,unknown,,,unknown,,,,,2026-03-19T10:10:29.325Z,,,,,,
Carinity Fairfield Grange,The Baptist Union of Queensland,,carinity-fairfield-grange,agedcare@carinity.org.au,1300 109 109,http://www.fairfieldgrange.org.au/,https://www.myagedcare.gov.au/find-a-provider/search/xv6skfrlr-the-baptist-union-of-queensland/aged-care-homes/carinity-fairfield-grange-g35p02r6z,33 KOKODA Street,,IDALIA,QLD,4811,,,active,myagedcare,residential_aged_care,,,"Fairfield Grange is an aged care community designed to feel like home. With 96 private suites with ensuites, we offer the support you need with the comfort and privacy of home. Spread across three levels, each floor features a dining lounge, quiet retreats and kitchen hubs, and has access to our salon, The Beehive, private dining room and wellness suite. Our talented on-site chef ensures that meals are a delicious experience as well as an enjoyable social activity – special treats are a feature, too! Please visit the Fairfield Grange website for a virtual tour of the suites and facilities.",,,,,,,,Availability|Premium Ultimate - Third Floor|Level Two Rooms|Ground Floor|Premium Ground Floor|Third Floor Suites|Premium Plus - Level Two,,,,Nursing|Medication management|Dietitian,,,$18/day spend; 61% satisfaction; prepared onsite,,,,,,,,,,,,,98.51,117.37,unknown,,unknown,,,unknown,,,,,2026-03-19T10:10:36.122Z,,,,,,
St Vincent's Care Services Maroochydore,St Vincent's Care Services Ltd,,st-vincents-care-services-maroochydore,svcs.info@svha.org.au,1300 719 243,https://www.svcs.org.au/residential-aged-care/locations/qld/sunshine-coast/maroochydore,https://www.myagedcare.gov.au/find-a-provider/search/sy77vpz3-st-vincent-s-care-services-ltd/aged-care-homes/st-vincent-s-care-services-maroochydore-9t04ylr5n,37 BADEN POWELL Street,,MAROOCHYDORE,QLD,4558,,,active,myagedcare,residential_aged_care,,,"Imagine placing your loved one in an aged care home where they feel welcome, valued and safe.",,,,,,,,Availability|Premium Couples Suite|Deluxe Plus Couples Room|Superior Memory Care Room|Premium Couples Room|Standard Room|Premium Plus Couples Room|Superior Room|Premium Plus Couples Suite|Superior Plus Room|Standard Plus Room|Standard Memory Care Room|Deluxe Couples Room,,,,Nursing|Medication management|Dietitian,,,$22/day spend; 73% satisfaction; prepared onsite,,,,,,,,,,,,,141.47,157.19,unknown,,unknown,,,unknown,,,,,2026-03-19T10:10:46.409Z,,,,,,
Tully & District Nursing Home,Tully Nursing Home Inc,,tully-district-nursing-home,accounts@tullynursinghome.com.au,07 4068 2355,https://tullynursinghome.com.au/,https://www.myagedcare.gov.au/find-a-provider/search/4hhd4631-tully-nursing-home-inc/aged-care-homes/tully-and-district-nursing-home-g3j3y4cr,13 Bryant Street,,TULLY,QLD,4854,,,active,myagedcare,residential_aged_care,,,Tully Nursing Home is a 72 bed aged care facility in Tully North Queensland. We offer residential respite care and permanent residential care.,,,,,Residential respite,,,Availability|Pine Lodge|FlameTree / Wattle|Rainforest|Mountain View,,,,Nursing|Medication management|Dietitian,,,$14/day spend; 79% satisfaction; prepared onsite,,,,,,,,,,,,,78.60,94.32,unknown,,unknown,,,unknown,,,,,2026-03-19T10:10:54.005Z,,,,,,
Estia Health Maroochydore,Estia Investments Pty Ltd,,estia-health-maroochydore,admissions@estiahealth.com.au,1300 682 833,https://www.estiahealth.com.au/our-homes/qld-brisbane/maroochydore/,https://www.myagedcare.gov.au/find-a-provider/search/s669mlyw-estia-investments-pty-ltd/aged-care-homes/estia-health-maroochydore-5shxqxj8m,2-6 AMITY Avenue,,MAROOCHYDORE,QLD,4558,,,active,myagedcare,residential_aged_care,,,"Estia Health Maroochydore is a modern and welcoming, home that opened in 2019 in the recently developed Sunshine Cove complex, joining our three other homes on the Sunshine Coast. Situated in a beautiful residential spot, the home has views across tranquil waterways with easy access to waterfront pathways and the complex’s services, including a medical centre and shops. The experienced clinicians, carers and hospitality teams look after all aspects of a resident’s care, including clinical, social and overall wellbeing, and offer palliative care services, which can be accessed for short-term respite care or a longer stay. The home’s Memory Support Unit provides a safe and supportive environment for residents requiring additional support. The home offers spacious single rooms with ensuite. With a lovely café at the entrance with bi-fold windows opening to the outside, internal gardens and courtyards with raised garden beds offer tranquil and peaceful environments for all.",,,,,Residential respite,,,Availability|Currently available|Single room with ensuite|Single room with ensuite|Superior single room,,,,Nursing|Medication management|Dietitian,,,$14/day spend; 88% satisfaction; prepared onsite,,,,,,,,,,,,,136.23,146.71,unknown,,unknown,,,unknown,,,,,2026-03-19T10:11:03.634Z,,,,,,
Regis Kuluin,Regis Group Pty Ltd,,regis-kuluin,advice@regis.com.au,1300 998 100,http://www.regis.com.au/aged-care-residences/queensland/regis-kuluin/,https://www.myagedcare.gov.au/find-a-provider/search/799p701r-regis-group-pty-ltd/aged-care-homes/regis-kuluin-2r0rnnjd,354 MAIN Road,,KULUIN,QLD,4558,,,active,myagedcare,residential_aged_care,,,"Regis Kuluin takes in stunning views of the mountains and hinterland. The surroundings are continued in Kuluin’s multiple garden outdoor living spaces. The focal point is our quiet social living areas within the home including 2 café areas, a library and computer space, a large activities room, private dining areas and a cinema for residents and families to enjoy. Located on the Sunshine Coast, Regis Kuluin is a 10-minute drive from Maroochydore and has a range of Additional Services.",,,,,,,,Availability|Double Select,,,,Nursing|Medication management|Dietitian,,,$14/day spend; 84% satisfaction; offsite,,,,,,,,,,,,,143.99,143.99,unknown,,unknown,,,unknown,,,,,2026-03-19T10:11:21.445Z,,,,,,
Estia Health Twin Waters,Estia Investments Pty Ltd,,estia-health-twin-waters,admissions@estiahealth.com.au,1300 682 833,https://www.estiahealth.com.au/our-homes/qld-brisbane/twin-waters/,https://www.myagedcare.gov.au/find-a-provider/search/s669mlyw-estia-investments-pty-ltd/aged-care-homes/estia-health-twin-waters-kwnzcp6w6,190 OCEAN Drive,,TWIN WATERS,QLD,4564,,,active,myagedcare,residential_aged_care,,,"Estia Health Twin Waters is a beautiful, resort-style home that opened in 2017, joining our other homes to offer choice of care and services to the Sunshine Coast community. Situated just off Ocean Drive, surrounded by the Twin Waters Retirement Village, close to the beach, golf course, public transport and shops.",,,,,Residential respite|Dementia,,,Availability|Deluxe Suite|Single room with ensuite,,,,Nursing|Medication management|Dietitian,,,$14/day spend; 79% satisfaction; prepared onsite,,,,,,,,,,,,,135.18,141.47,unknown,,unknown,,,unknown,,,,,2026-03-19T10:11:37.975Z,,,,,,
Arcare Maroochydore,Arcare Pty Ltd,,arcare-maroochydore,desleigh.fabian@arcare.com.au,1300 272 273,http://www.arcare.com.au/care/arcare-maroochydore/,https://www.myagedcare.gov.au/find-a-provider/search/kw854rw3p-arcare-pty-ltd/aged-care-homes/arcare-maroochydore-3f4qj2,,,,QLD,4558,,,active,myagedcare,residential_aged_care,,,,,,,,Residential respite|Dementia,,,Availability|Premiere|Premiere plus|Deluxe|Grande,,,,Nursing|Medication management|Dietitian,,,$14/day spend; 71% satisfaction; prepared onsite,,,,,,,,,,,,,130.99,151.95,unknown,,unknown,,,unknown,,,,,2026-03-19T10:11:54.633Z,,,,,,
Berlasco Court Caring Centre,The Ethnic Communities Council of Queensland Limited,,berlasco-court-caring-centre,berlasco@eccq.com.au,07 3721 5210,http://www.eccq.com.au/,https://www.myagedcare.gov.au/find-a-provider/search/jmmkj8nb-the-ethnic-communities-council-of-queensland/aged-care-homes/berlasco-court-caring-centre-p5h5l0rr,150 CENTRAL Avenue,,INDOOROOPILLY,QLD,4068,,,active,myagedcare,residential_aged_care,,,"A new purpose-built state-of-the-art home for 115 residents. Berlasco’s difference is its cultural diversity, with staff speaking multiple languages. Located in Indooroopilly close to shops and public transport, Berlasco looks and feels like a resort rather than traditional Aged care.",,,,,,,,Availability|Deluxe Suite|Standard Suite|Premium Suite,,,,Nursing|Medication management|Dietitian,,,$13/day spend; 64% satisfaction; prepared onsite,,,,,,,,,,,,,161.48,173.01,unknown,,unknown,,,unknown,,,,,2026-03-19T10:12:01.414Z,,,,,,
Kawana Waters Care Community,DPG Services Pty Ltd,,kawana-waters-care-community,contact.centre@opalhealthcare.com.au,07 5390 5100,https://www.opalhealthcare.com.au/residential-aged-care/kawana-waters,https://www.myagedcare.gov.au/find-a-provider/search/ktnv8dqvmf-dpg-services-pty-ltd/aged-care-homes/kawana-waters-care-community-796p9c8r8,1 REFLECTION Crescent,,BIRTINYA,QLD,4575,,,active,myagedcare,residential_aged_care,,,"Kawana Waters Care Community is located in the heart of the Sunshine Coast and our beautifully appointed modern Care Community has a lakeside setting, landscaped gardens and terraced balconies that provide a multitude of spacious and light-filled indoor and outdoor spaces to share with family and friends. With an excellent reputation for clinical care, we are sought after both by families with specific care needs for loved ones, and student nurses seeking training placements with our registered nurses and care teams.",,,,,,,,Availability|Classic|Superior|Premium|Deluxe|Suite|Superior Companion,,,,Nursing|Medication management,,,$13/day spend; 67% satisfaction; prepared onsite,,,,,,,,,,,,,82.79,125.75,unknown,,unknown,,,unknown,,,,,2026-03-19T10:12:12.145Z,,,,,,
Estia Health Pacific Paradise,Estia Investments Pty Ltd,,estia-health-pacific-paradise,admissions@estiahealth.com.au,1300 682 833,https://www.estiahealth.com.au/our-homes/qld-brisbane/pacific-paradise/,https://www.myagedcare.gov.au/find-a-provider/search/s669mlyw-estia-investments-pty-ltd/aged-care-homes/estia-health-pacific-paradise-f0152mblt0,26 MENZIES Drive,,PACIFIC PARADISE,QLD,4564,,,active,myagedcare,residential_aged_care,,,"The home is well respected for its experienced team and their delivery of high-quality care services. Our team of clinicians, care and hospitality teams look after all aspects of a resident's care including clinical, social and overall wellbeing and offer dementia, pain management and palliative care services, which can be accessed as short-term respite care or for a longer stay.",,,,,Residential respite|Dementia,,,Availability|Currently available|Single room with ensuite,,,,Nursing|Medication management|Dietitian,,,$14/day spend; 55% satisfaction; prepared onsite,,,,,,,,,,,,,130.99,130.99,unknown,,unknown,,,unknown,,,,,2026-03-19T10:12:27.967Z,,,,,,
Bolton Clarke Seaton Place,RSL Care RDNS Limited,,bolton-clarke-seaton-place,seatonplacerac@boltonclarke.com.au,07 3050 9100,http://www.boltonclarke.com.au/living-options/residential-aged-care/seaton-place/,https://www.myagedcare.gov.au/find-a-provider/search/mdfyd5kzwl-rsl-care-rdns-limited/aged-care-homes/bolton-clarke-seaton-place-1x796n0fwp,111 Smith Street,,CLEVELAND,QLD,4163,,,active,myagedcare,residential_aged_care,,,"As Australia’s largest independent not-for-profit aged care provider, Bolton Clarke is shaping the future of positive ageing. Our homes are welcoming and safe communities where lifestyle, social connection and individual interests are celebrated, and quality care comes from the heart. Located in beautiful coastal region of Redlands, Seaton Place is a Signature home that provides high-quality aged care in a friendly residential environment. Our home provides the peace-of-mind of having a Registered Nurse on duty 24/7. Working together with you and your family, we provide personalised care that responds as needs change, including highly specialised care and dementia support, with wellness programs created around your preferences. Seaton Place offers a range of community activities and social areas to catch up with family and friends.",,,,,Dementia,,,Availability|Superior First Floor|Platinum Suite|Premier Suite|Superior|Deluxe|Deluxe Plus|Grande|Grande Plus|Grande Suite|Classic|Superior Ground Floor|Premier Suite|Platinum Suite,,,,Nursing|Medication management|Dietitian,,,$16/day spend; 88% satisfaction; prepared onsite,,,,,,,,,,,,,157.19,251.51,unknown,,unknown,,,unknown,,,,,2026-03-19T10:12:32.819Z,,,,,,
Blue Care Warana Beachwood Aged Care Facility,UnitingCare Queensland Limited,,blue-care-warana-beachwood-aged-care-facility,r.services@bluecare.org.au,1800 838 929,https://www.bluecare.org.au/aged-care-homes/locations/warana-beachwood,https://www.myagedcare.gov.au/find-a-provider/search/wmmxx0gk-unitingcare-queensland-limited/aged-care-homes/blue-care-warana-beachwood-aged-care-facility-ck1km7fg,124 Nicklin Way,,WARANA,QLD,4575,,,active,myagedcare,residential_aged_care,,,,,,,,,,,Availability|Currently available|Single Room with Private Ensuite|Deluxe Single Room + Private Ensuite|Single Room with No Ensuite in a Memory Support Unit,,,,Nursing|Medication management,,,,,,,,,,,,,,,,127.85,140.42,unknown,,unknown,,,unknown,,,,,2026-03-19T10:12:43.284Z,,,,,,
Palm Lake Care Bargara,Palm Lake Care Operations Pty Ltd,,palm-lake-care-bargara,caresolutions@palmlake.com.au,1800 246 677,http://www.palmlakecare.com.au/,https://www.myagedcare.gov.au/find-a-provider/search/mlfftwr46-palm-lake-care-operations-pty-ltd/aged-care-homes/palm-lake-care-bargara-p7dft5k5w,55 Wearing Road Street,,BARGARA,QLD,4607,,,active,myagedcare,residential_aged_care,,,"Palm Lake Care Bargara is one of Bundaberg Region’s most modern and premier aged caring community. As a family owned and operated business, we take great pride in providing reliable, high-quality, safe & secure residential aged care.",,,,,,,,Availability|Memory Support Unit - Classic Suite|Classic Suite|Premium Suite,,,,Nursing|Medication management|Dietitian,,,$22/day spend; 55% satisfaction; prepared onsite,,,,,,,,,,,,,141.26,141.26,unknown,,unknown,,,unknown,,,,,2026-03-19T10:12:50.303Z,,,,,,
Tricare Kawana Waters Aged Care Residence,TriCare Aged Care Pty Ltd,,tricare-kawana-waters-aged-care-residence,agedcare@tricare.com.au,07 3360 9011,https://www.tricare.com.au/aged-care/sunshine-coast/kawana-waters-aged-care-residence/,https://www.myagedcare.gov.au/find-a-provider/search/1x7l8wq451-tricare-aged-care-pty-ltd/aged-care-homes/tricare-kawana-waters-aged-care-residence-kt4nyfwx2p,90 NICKLIN Way,,WARANA,QLD,4575,,,active,myagedcare,residential_aged_care,,,"At Kawana Waters Aged Care Residence our care approach aims to help you achieve the highest level of independence and freedom, while our dedicated staff, including Registered Nurses, provide genuine care.We offer a range of options for singles and couples, including accommodation with a separate living area, built-in kitchenette with pantry and mini-fridge, desk and a generous wardrobe. Choose from a variety of comfortable accommodation options: classic single and companion rooms, and spacious state-of-the-art single premium rooms with kitchenettes, king-single beds, and some with separate living areas. Enjoy all-year-round comfort with a modern heating and cooling system.Various visiting health services help you to maintain your wellbeing. A physiotherapist, podiatrist, speech therapist and diversional therapist ensure you receive the care you need while GPs, dentist and pharmaceutical services are also available.",,,,,,,,"Availability|Premium Single Suite with private ensuite (level 2)|Premium Single Studio, Private Ensuite, Level 1|Premium Single Studio, Private Ensuite, Level 3|Premium Single Studio, Private Ensuite, Level 2 waterfront|Superior Single, Private Ensuite (Acacia Wing)|Superior Single, Private Ensuite (Kauri Wing)|Classic Single Room with Shared Ensuite (Cassia Wing)|Classic Single Room with Shared Ensuite (Eucalypt Wing)|Classic Single, Shared bathroom (Dolphin Cove)|Classic Companion with Shared Ensuite (Cassia Wing)|Classic Single Room with Shared Ensuite (Cassia Wing)|Classic Single Room with Shared Ensuite (Eucalypt Wing)|Classic Single, Shared bathroom (Dolphin Cove)",,,,Nursing|Medication management|Dietitian,,,$14/day spend; 60% satisfaction; prepared onsite,,,,,,,,,,,,,99.55,157.19,unknown,,unknown,,,unknown,,,,,2026-03-19T10:12:59.729Z,,,,,,
St Vincent's Care Services Maroochydore,St Vincent's Care Services Ltd,,st-vincents-care-services-maroochydore,svcs.info@svha.org.au,1300 719 243,https://www.svcs.org.au/residential-aged-care/locations/qld/sunshine-coast/maroochydore,https://www.myagedcare.gov.au/find-a-provider/search/sy77vpz3-st-vincent-s-care-services-ltd/aged-care-homes/st-vincent-s-care-services-maroochydore-9t04ylr5n,37 BADEN POWELL Street,,MAROOCHYDORE,QLD,4558,,,active,myagedcare,residential_aged_care,,,"Imagine placing your loved one in an aged care home where they feel welcome, valued and safe.",,,,,,,,Availability|Premium Couples Suite|Deluxe Plus Couples Room|Superior Memory Care Room|Premium Couples Room|Standard Room|Premium Plus Couples Room|Superior Room|Premium Plus Couples Suite|Superior Plus Room|Standard Plus Room|Standard Memory Care Room|Deluxe Couples Room,,,,Nursing|Medication management|Dietitian,,,$22/day spend; 73% satisfaction; prepared onsite,,,,,,,,,,,,,141.47,157.19,unknown,,unknown,,,unknown,,,,,2026-03-19T10:13:16.597Z,,,,,,
Edward River Gardens,Moulamein Retirement Village Inc,,edward-river-gardens,manager@mrvi.com.au,03 5888 9555,http://www.edwardrivergardens.com.au/,https://www.myagedcare.gov.au/find-a-provider/search/59rhnh9-moulamein-retirement-village-inc/aged-care-homes/edward-river-gardens-yv5qd97s,38 TURORA Street,,MOULAMEIN,NSW,2733,,,active,myagedcare,residential_aged_care,,,,,,,,,,,Availability|Flottmann Wing|Roy 'Stumpy' Doran Wing,,,,Nursing|Medication management|Dietitian,,,$21/day spend; 63% satisfaction; prepared onsite,,,,,,,,,,,,,66.90,71.51,unknown,,unknown,,,unknown,,,,,2026-03-19T10:13:33.131Z,,,,,,
